schema,function,argtypes,returns,volatility,security,leakproof,lang
app,_courses_set_owner,,trigger,VOLATILE,SECURITY INVOKER,,plpgsql
app,approve_teacher,p_user uuid,void,VOLATILE,SECURITY DEFINER,,plpgsql
app,can_access_course,p_user uuid, p_course uuid,boolean,STABLE,SECURITY INVOKER,,sql
app,can_access_course,p_course uuid,boolean,STABLE,SECURITY INVOKER,,sql
app,can_post_channel,p_channel text, p_sender uuid,boolean,STABLE,SECURITY INVOKER,,sql
app,can_read_channel,p_channel text,boolean,STABLE,SECURITY INVOKER,,sql
app,claim_purchase,p_token uuid,boolean,VOLATILE,SECURITY DEFINER,,plpgsql
app,complete_order,p_order_id uuid, p_payment_intent text, p_checkout_id text DEFAULT NULL::text,app.orders,VOLATILE,SECURITY DEFINER,,plpgsql
app,current_role,,app.role_type,STABLE,SECURITY DEFINER,,plpgsql
app,delete_user_data,p_user uuid,void,VOLATILE,SECURITY DEFINER,,plpgsql
app,enrollments_materialize_trg_fn,,trigger,VOLATILE,SECURITY DEFINER,,plpgsql
app,ensure_owner_policies,IN p_table text,,VOLATILE,SECURITY INVOKER,,plpgsql
app,ensure_profile,p_email text DEFAULT NULL::text, p_display_name text DEFAULT NULL::text,app.profiles,VOLATILE,SECURITY DEFINER,,plpgsql
app,ensure_touch_trigger,IN p_schema text, IN p_table text, IN p_trigger text,,VOLATILE,SECURITY INVOKER,,plpgsql
app,export_user_data,p_user uuid DEFAULT auth.uid(),jsonb,VOLATILE,SECURITY DEFINER,,plpgsql
app,free_consumed_count,,integer,STABLE,SECURITY INVOKER,,sql
app,free_consumed_count,p_user uuid,integer,STABLE,SECURITY INVOKER,,sql
app,get_config,,app.app_config,STABLE,SECURITY INVOKER,,sql
app,get_fallback_owner,,uuid,STABLE,SECURITY INVOKER,,plpgsql
app,get_my_profile,,app.profiles,VOLATILE,SECURITY DEFINER,,sql
app,grant_professional_if_ready,p_user uuid,void,VOLATILE,SECURITY INVOKER,,plpgsql
app,handle_new_user,,trigger,VOLATILE,SECURITY DEFINER,,plpgsql
app,has_column,p_schema text, p_table text, p_column text,boolean,STABLE,SECURITY INVOKER,,sql
app,is_admin,,boolean,STABLE,SECURITY DEFINER,,plpgsql
app,is_admin,u uuid,boolean,STABLE,SECURITY INVOKER,,sql
app,is_teacher,,boolean,STABLE,SECURITY DEFINER,,plpgsql
app,is_teacher_uid,uid uuid,boolean,STABLE,SECURITY INVOKER,,sql
app,materialize_drip_jobs,p_user uuid, p_course uuid,integer,VOLATILE,SECURITY DEFINER,,plpgsql
app,null_created_by_report,,TABLE(schema_name text, table_name text, null_count bigint),STABLE,SECURITY INVOKER,,plpgsql
app,owns_course,_course_id uuid,boolean,STABLE,SECURITY INVOKER,,sql
app,reject_teacher,p_user uuid,void,VOLATILE,SECURITY DEFINER,,plpgsql
app,start_order,p_course_id uuid, p_amount_cents integer, p_currency text DEFAULT 'sek'::text, p_metadata jsonb DEFAULT '{}'::jsonb,app.orders,VOLATILE,SECURITY DEFINER,,plpgsql
app,start_service_order,p_service_id uuid, p_amount_cents integer, p_currency text DEFAULT 'sek'::text, p_metadata jsonb DEFAULT '{}'::jsonb,app.orders,VOLATILE,SECURITY DEFINER,,plpgsql
app,touch_updated_at,,trigger,VOLATILE,SECURITY INVOKER,,plpgsql
app,trigger_report,,TABLE(schema_name text, table_name text, trigger_name text, enabled_state text, trigger_def text),STABLE,SECURITY INVOKER,,sql
auth,email,,text,STABLE,SECURITY INVOKER,,sql
auth,jwt,,jsonb,STABLE,SECURITY INVOKER,,sql
auth,role,,text,STABLE,SECURITY INVOKER,,sql
auth,uid,,uuid,STABLE,SECURITY INVOKER,,sql
extensions,armor,bytea, text[], text[],text,IMMUTABLE,SECURITY INVOKER,,c
extensions,armor,bytea,text,IMMUTABLE,SECURITY INVOKER,,c
extensions,crypt,text, text,text,IMMUTABLE,SECURITY INVOKER,,c
extensions,dearmor,text,bytea,IMMUTABLE,SECURITY INVOKER,,c
extensions,decrypt,bytea, bytea, text,bytea,IMMUTABLE,SECURITY INVOKER,,c
extensions,decrypt_iv,bytea, bytea, bytea, text,bytea,IMMUTABLE,SECURITY INVOKER,,c
extensions,digest,bytea, text,bytea,IMMUTABLE,SECURITY INVOKER,,c
extensions,digest,text, text,bytea,IMMUTABLE,SECURITY INVOKER,,c
extensions,encrypt,bytea, bytea, text,bytea,IMMUTABLE,SECURITY INVOKER,,c
extensions,encrypt_iv,bytea, bytea, bytea, text,bytea,IMMUTABLE,SECURITY INVOKER,,c
extensions,gen_random_bytes,integer,bytea,VOLATILE,SECURITY INVOKER,,c
extensions,gen_random_uuid,,uuid,VOLATILE,SECURITY INVOKER,,c
extensions,gen_salt,text,text,VOLATILE,SECURITY INVOKER,,c
extensions,gen_salt,text, integer,text,VOLATILE,SECURITY INVOKER,,c
extensions,grant_pg_cron_access,,event_trigger,VOLATILE,SECURITY INVOKER,,plpgsql
extensions,grant_pg_graphql_access,,event_trigger,VOLATILE,SECURITY INVOKER,,plpgsql
extensions,grant_pg_net_access,,event_trigger,VOLATILE,SECURITY INVOKER,,plpgsql
extensions,hmac,text, text, text,bytea,IMMUTABLE,SECURITY INVOKER,,c
extensions,hmac,bytea, bytea, text,bytea,IMMUTABLE,SECURITY INVOKER,,c
