grantee,table_schema,table_name,privilege_type,is_grantable
authenticated,app,lesson_media,SELECT,NO
authenticated,app,lesson_media,UPDATE,NO
postgres,app,lesson_media,DELETE,YES
postgres,app,lesson_media,INSERT,YES
postgres,app,lesson_media,REFERENCES,YES
postgres,app,lesson_media,SELECT,YES
postgres,app,lesson_media,TRIGGER,YES
postgres,app,lesson_media,TRUNCATE,YES
postgres,app,lesson_media,UPDATE,YES
anon,app,lessons,DELETE,NO
anon,app,lessons,INSERT,NO
anon,app,lessons,SELECT,NO
anon,app,lessons,UPDATE,NO
authenticated,app,lessons,DELETE,NO
authenticated,app,lessons,INSERT,NO
authenticated,app,lessons,SELECT,NO
authenticated,app,lessons,UPDATE,NO
postgres,app,lessons,DELETE,YES
postgres,app,lessons,INSERT,YES
postgres,app,lessons,REFERENCES,YES
postgres,app,lessons,SELECT,YES
postgres,app,lessons,TRIGGER,YES
postgres,app,lessons,TRUNCATE,YES
postgres,app,lessons,UPDATE,YES
anon,app,magic_links,DELETE,NO
anon,app,magic_links,INSERT,NO
anon,app,magic_links,SELECT,NO
anon,app,magic_links,UPDATE,NO
authenticated,app,magic_links,DELETE,NO
authenticated,app,magic_links,INSERT,NO
authenticated,app,magic_links,SELECT,NO
authenticated,app,magic_links,UPDATE,NO
postgres,app,magic_links,DELETE,YES
postgres,app,magic_links,INSERT,YES
postgres,app,magic_links,REFERENCES,YES
postgres,app,magic_links,SELECT,YES
postgres,app,magic_links,TRIGGER,YES
postgres,app,magic_links,TRUNCATE,YES
postgres,app,magic_links,UPDATE,YES
anon,app,meditations,DELETE,NO
anon,app,meditations,INSERT,NO
anon,app,meditations,SELECT,NO
anon,app,meditations,UPDATE,NO
authenticated,app,meditations,DELETE,NO
authenticated,app,meditations,INSERT,NO
authenticated,app,meditations,SELECT,NO
authenticated,app,meditations,UPDATE,NO
postgres,app,meditations,DELETE,YES
postgres,app,meditations,INSERT,YES
postgres,app,meditations,REFERENCES,YES
postgres,app,meditations,SELECT,YES
postgres,app,meditations,TRIGGER,YES
postgres,app,meditations,TRUNCATE,YES
postgres,app,meditations,UPDATE,YES
anon,app,memberships,DELETE,NO
anon,app,memberships,INSERT,NO
anon,app,memberships,SELECT,NO
anon,app,memberships,UPDATE,NO
authenticated,app,memberships,DELETE,NO
authenticated,app,memberships,INSERT,NO
authenticated,app,memberships,SELECT,NO
authenticated,app,memberships,UPDATE,NO
postgres,app,memberships,DELETE,YES
postgres,app,memberships,INSERT,YES
postgres,app,memberships,REFERENCES,YES
postgres,app,memberships,SELECT,YES
postgres,app,memberships,TRIGGER,YES
postgres,app,memberships,TRUNCATE,YES
postgres,app,memberships,UPDATE,YES
anon,app,messages,DELETE,NO
anon,app,messages,INSERT,NO
anon,app,messages,SELECT,NO
anon,app,messages,UPDATE,NO
authenticated,app,messages,DELETE,NO
authenticated,app,messages,INSERT,NO
authenticated,app,messages,SELECT,NO
authenticated,app,messages,UPDATE,NO
postgres,app,messages,DELETE,YES
postgres,app,messages,INSERT,YES
postgres,app,messages,REFERENCES,YES
postgres,app,messages,SELECT,YES
postgres,app,messages,TRIGGER,YES
postgres,app,messages,TRUNCATE,YES
postgres,app,messages,UPDATE,YES
anon,app,modules,DELETE,NO
anon,app,modules,INSERT,NO
anon,app,modules,SELECT,NO
anon,app,modules,UPDATE,NO
authenticated,app,modules,DELETE,NO
authenticated,app,modules,INSERT,NO
authenticated,app,modules,SELECT,NO
authenticated,app,modules,UPDATE,NO
postgres,app,modules,DELETE,YES
postgres,app,modules,INSERT,YES
postgres,app,modules,REFERENCES,YES
postgres,app,modules,SELECT,YES
postgres,app,modules,TRIGGER,YES
postgres,app,modules,TRUNCATE,YES
postgres,app,modules,UPDATE,YES
anon,app,notification_jobs,DELETE,NO
anon,app,notification_jobs,INSERT,NO
anon,app,notification_jobs,SELECT,NO
anon,app,notification_jobs,UPDATE,NO
authenticated,app,notification_jobs,DELETE,NO
authenticated,app,notification_jobs,INSERT,NO
authenticated,app,notification_jobs,SELECT,NO
authenticated,app,notification_jobs,UPDATE,NO
postgres,app,notification_jobs,DELETE,YES
postgres,app,notification_jobs,INSERT,YES
postgres,app,notification_jobs,REFERENCES,YES
postgres,app,notification_jobs,SELECT,YES
postgres,app,notification_jobs,TRIGGER,YES
postgres,app,notification_jobs,TRUNCATE,YES
postgres,app,notification_jobs,UPDATE,YES
anon,app,notification_templates,DELETE,NO
anon,app,notification_templates,INSERT,NO
anon,app,notification_templates,SELECT,NO
anon,app,notification_templates,UPDATE,NO
authenticated,app,notification_templates,DELETE,NO
authenticated,app,notification_templates,INSERT,NO
authenticated,app,notification_templates,SELECT,NO
authenticated,app,notification_templates,UPDATE,NO
postgres,app,notification_templates,DELETE,YES
postgres,app,notification_templates,INSERT,YES
postgres,app,notification_templates,REFERENCES,YES
postgres,app,notification_templates,SELECT,YES
postgres,app,notification_templates,TRIGGER,YES
postgres,app,notification_templates,TRUNCATE,YES
postgres,app,notification_templates,UPDATE,YES
anon,app,orders,DELETE,NO
anon,app,orders,INSERT,NO
anon,app,orders,SELECT,NO
anon,app,orders,UPDATE,NO
authenticated,app,orders,DELETE,NO
authenticated,app,orders,INSERT,NO
authenticated,app,orders,SELECT,NO
authenticated,app,orders,UPDATE,NO
postgres,app,orders,DELETE,YES
postgres,app,orders,INSERT,YES
postgres,app,orders,REFERENCES,YES
postgres,app,orders,SELECT,YES
postgres,app,orders,TRIGGER,YES
